"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-25218.2452916735
"2","ACDG_P015",1,50,-49289.3735614449
"3","ACDG_P015",1,100,-99267.2701479942
"4","ACDG_P015",2,25,-26753.032114063
"5","ACDG_P015",2,50,-50754.239731691
"6","ACDG_P015",2,100,-99604.0076751516
"7","ACDG_P015",3,25,-25217.458356149
"8","ACDG_P015",3,50,-49928.3020474701
"9","ACDG_P015",3,100,-98616.4924039619
"10","ACDG_P015",4,25,-24466.9933118654
"11","ACDG_P015",4,50,-47030.2180218821
"12","ACDG_P015",4,100,-99697.5670622225
"13","ACDG_P015",5,25,-26674.9414112198
"14","ACDG_P015",5,50,-49038.8395067919
"15","ACDG_P015",5,100,-98636.715053213
"16","ACDG_P015",6,25,-26585.1209447974
"17","ACDG_P015",6,50,-50343.2477319601
"18","ACDG_P015",6,100,-100713.60494236
"19","ACDG_P015",7,25,-26019.4691043745
"20","ACDG_P015",7,50,-49070.2103270622
"21","ACDG_P015",7,100,-99528.7367005766
"22","ACDG_P015",8,25,-25830.1274474201
"23","ACDG_P015",8,50,-50468.5559628031
"24","ACDG_P015",8,100,-99002.5278398319
"25","ACDG_P015",9,25,-23716.4445966409
"26","ACDG_P015",9,50,-50546.363715246
"27","ACDG_P015",9,100,-99597.7679676567
"28","ACDG_P015",10,25,-27409.7215691992
"29","ACDG_P015",10,50,-49294.7473877386
"30","ACDG_P015",10,100,-100767.820647482
"31","ACDG_P015",11,25,-26365.8667606134
"32","ACDG_P015",11,50,-50664.5528943005
"33","ACDG_P015",11,100,-100435.303121371
"34","ACDG_P015",12,25,-24792.3221329855
"35","ACDG_P015",12,50,-47722.427406381
"36","ACDG_P015",12,100,-98965.4077001967
"37","ACDG_P015",13,25,-26440.028138491
"38","ACDG_P015",13,50,-49326.9103873894
"39","ACDG_P015",13,100,-99476.5129833183
"40","ACDG_P015",14,25,-24418.5800235851
"41","ACDG_P015",14,50,-48978.0126668969
"42","ACDG_P015",14,100,-98136.8157025124
"43","ACDG_P015",15,25,-25905.8933687212
"44","ACDG_P015",15,50,-50818.5575490641
"45","ACDG_P015",15,100,-99453.6298627002
"46","ACDG_P015",16,25,-27717.7778880953
"47","ACDG_P015",16,50,-50040.4931741777
"48","ACDG_P015",16,100,-99567.3155300657
"49","ACDG_P015",17,25,-25288.0474707749
"50","ACDG_P015",17,50,-47053.9493843683
"51","ACDG_P015",17,100,-100408.576486798
"52","ACDG_P015",18,25,-25298.6582618856
"53","ACDG_P015",18,50,-49285.4185778866
"54","ACDG_P015",18,100,-98904.4168925658
"55","ACDG_P015",19,25,-26334.9441700666
"56","ACDG_P015",19,50,-49463.0535510996
"57","ACDG_P015",19,100,-100323.801537399
"58","ACDG_P015",20,25,-26898.9284228718
"59","ACDG_P015",20,50,-49739.2949231446
"60","ACDG_P015",20,100,-99958.3368868528
"61","ACDG_P015",21,25,-25513.1575082015
"62","ACDG_P015",21,50,-51612.0233274127
"63","ACDG_P015",21,100,-100880.383006815
"64","ACDG_P015",22,25,-24860.2341910212
"65","ACDG_P015",22,50,-50028.5519263782
"66","ACDG_P015",22,100,-98264.3769707418
"67","ACDG_P015",23,25,-26453.2776994855
"68","ACDG_P015",23,50,-50339.8142359648
"69","ACDG_P015",23,100,-100241.340866306
"70","ACDG_P015",24,25,-25234.4672555844
"71","ACDG_P015",24,50,-48725.5262849188
"72","ACDG_P015",24,100,-99199.2027588886
"73","ACDG_P015",25,25,-25674.0983261567
"74","ACDG_P015",25,50,-49229.709431694
"75","ACDG_P015",25,100,-99989.0353710445
"76","ACDG_P015",26,25,-25602.4264125083
"77","ACDG_P015",26,50,-49961.3880696248
"78","ACDG_P015",26,100,-99153.951024019
"79","ACDG_P015",27,25,-25793.6717953918
"80","ACDG_P015",27,50,-49738.0288926906
"81","ACDG_P015",27,100,-101159.608174026
"82","ACDG_P015",28,25,-27050.2901145745
"83","ACDG_P015",28,50,-49676.6785967466
"84","ACDG_P015",28,100,-99237.8417376045
"85","ACDG_P015",29,25,-26727.3327794884
"86","ACDG_P015",29,50,-48436.7909391221
"87","ACDG_P015",29,100,-99204.9700239635
"88","ACDG_P015",30,25,-28071.5909228325
"89","ACDG_P015",30,50,-49714.045218497
"90","ACDG_P015",30,100,-98008.4664534085
"91","ACDG_P015",31,25,-24424.5523377056
"92","ACDG_P015",31,50,-48340.9389915609
"93","ACDG_P015",31,100,-98796.738569566
"94","ACDG_P015",32,25,-27047.2218192236
"95","ACDG_P015",32,50,-51280.1878166348
"96","ACDG_P015",32,100,-98973.3401933515
"97","ACDG_P015",33,25,-25196.3687598639
"98","ACDG_P015",33,50,-49433.1424934529
"99","ACDG_P015",33,100,-99676.8500460318
"100","ACDG_P015",34,25,-26583.4946496971
"101","ACDG_P015",34,50,-50453.821862192
"102","ACDG_P015",34,100,-100241.307025804
"103","ACDG_P015",35,25,-24208.3527816043
"104","ACDG_P015",35,50,-49236.010508677
"105","ACDG_P015",35,100,-98294.2977771006
"106","ACDG_P015",36,25,-27115.4854743773
"107","ACDG_P015",36,50,-49195.2931981875
"108","ACDG_P015",36,100,-99129.3168720443
"109","ACDG_P015",37,25,-25090.5987348996
"110","ACDG_P015",37,50,-47673.881884902
"111","ACDG_P015",37,100,-99874.557043277
"112","ACDG_P015",38,25,-25729.9276958048
"113","ACDG_P015",38,50,-50380.0507687918
